अकड़	اڪڙ
अकथ	اڪٿ
अकर्मक	اڪرمڪ
अकर्मी	اڪرمي
अकाल	اڪال
अकिड़्यल	اڪڙيل
अकीचार	اڪيڇار
अकीचार	اڪيچار
अकीदे	عقيدي
अकीदो	عقيدو
अकुल	عقل
अकुल	عَقُلَ
अकुलु	عقل
अकुल्मंदु	عقلمند
अकेलाई	اڪيلائي
अकेले	اڪيلي
अकेलो	اڪيلو
अकेलो	ڇڏي
अकेल्आई	اڪيلائي
अक्क्रमणु	آڪرَمَڻُ
अक्लीअ	عقليءَ
अक्लु	عقل
अक्शय्	اڪشيَ
अक्स	عڪس
अक्सर	اڪثر
अक्सीर	اڪسير
अक्सु	عڪس
अख	اک
अखर	اَکَڙ
अखर	اکر
अखरु	اکر
अखर्	اکر
अखि	اک
अखि	اَکِ
अखियुन	اکين
अखियुन	اکيُن
अखियूं	اکيون
अखुट	اکٽ
अखुट्	اکُٽ
अखंड	اکنڊ
अखंडता	اکنڊتا
अख़्तियारी	اختياري
अख़्त्यारी	اختياري
अख़्त्यारी	اَختياري
अख़्त्यारी	اَخِتياريِ
अख़्बार	اخبار
अख्युन	اکين
अख्यूं	اکيون
अगम	اگم
अगर्	اگر
अगर्च्	اگرچ
अग्यानी	اگياني
अग्यान्	اگيان
अॻकथी	اڳڪٿي
अॻते	اڳتي
अॻभरो	اڳڀرو
अॻयाड़ी	اڳياڙي
अॻयां	اَڳيان
अॻयां	اڳيان
अॻयों	آڳيون
अॻयों	اڳيون
अॻराई	اَڳرائيِ
अॻराई	چڙھائي
अॻरो	اڳرو
अॻवानी	اڳواني
अॻिएं	اَڳئين
अॻिड़ी	اڳڙي
अॻिते	اڳتي
अॻिभरो	اڳڀرو
अॻियान	اڳيان
अॻिरो	اڳرو
अॻीं	اڳين
अॻु	اڳ
अॻुवान	اڳوان
अॻुवानी	اڳواني
अॻूणा	اڳوڻا
अॻूणाई	اڳوڻائي
अॻूणो	اڳوڻو
अॻे	اَڳي
अॻे	اڳي
अघ	اگھ
अघु	اگھ
अघो	اگھو
अघोत्री	اگھوتري
अघोरी	اگھوري
अङणु	اڱڻ
अचण	اچڻ
अचणु	آچَڻُ
अचणु	اچَڻُ
अचणु	اچڻ
अचणु	اَچَڻُ
अचणु	اَچڻُ
अचण्	اچڻ
अचर्	اچر
अचल	اچل
अचल्	اچل
अची	اچي
अचूक	اچوڪ
अचेताई	اچيتائي
अचंभो	اچنڀو
अच्रज	اچرج
अच्रजु	اچرج
अछाणि	اڇاڻ
अछुतो	اڇتو
अछूत	اڇوت
अछूतो	اچوتو
अछूतो	اڇوتو
अछो	اڇو
अजब	اجب
अजब	عجب
अजबु	اجب
अजबु	عجب
अजब्	عجب
अजय	اجيَ
अजय्	اجيَ
अजसूसी	جاسوسي
अजाइब	اجائب
अजाई	اجائي
अजायो	اجايو
अज़ीज़	عزيز
अज़ीज़	عَزيز
अजीत	اجيت
अजीत्	اجيت
अजीब	اجيب
अजीब	عجيب
अजीबु	اجيب
अजीरण	اجيرڻ
अजूबो	اجوبو
अजोॻ	اجوڳ
अजोॻो	اجوڳو
अज़्ख़ुद	ازخود
अज़्ख़ुद्	ازخود
अज़्ख़ूद्	ازخود
अज्गर	اجگر
अज्गर्	اجگر
अॼु	اڄ
अॼु	اڃا
अॼुकल्ह	اڄڪله
अझलु	اجھل
अझो	آجھو
अझो	اجھو
अञा	اڃان
अञाटाईं	اڃاتائين
अञां	اڃا
अटक	اٽڪ
अटल	اٽل
अटलु	اٽل
अटल्	اٽل
अटिकल	اٽڪل
अटिकाइणु	اٽڪائڻ
अटुट	اٽٽ
अटूट	اٽوٽ
अटो	اٽو
अट्कणु	اٽڪڻ
अट्कल	اٽڪل
अट्कलबाज़ी	اٽڪلبازي
अट्कली	اَٽِڪَليِ
अट्कली	اٽڪلي
अट्कल्	اٽڪل
अट्कल्बाज़ी	اٽڪلبازي
अट्काइणु	اٽڪائڻ
अट्काउ	اٽڪاءُ
अट्पट्यो	اٽپٽيو
अठ	اَٺَ
अठोरी	اٺوري
अडम्बर	آَڊمبر
अड़ाइणु	اڙائڻ
अड़े	اڙي
अड़्चन्	اڙچن
अॾणु	اَڏَڻُ
अॾणु	اڏڻ
अॾावत	اَڏاوت
अॾावत	اڏاوت
अॾींदड़्	اڏيندڙ
अॾो	اڏو
अढ	اَڍَ
अढ	اڍ
अढंगाई	اڍنگائي
अढंगो	اڍنگو
अढ्हंगो	اڍنگو
अण	اَڻ
अण	اَڻَ
अण	اڻ
अणकप्यल	اڻڪپيل
अणखुल्यल	اڻکليل
अणगुस	اڻگھس
अणॻणित	اڻڳڻت
अणॻाणू	اڻڳاڻو
अणघड़्यल	اڻگھڙيل
अणङण्यो	اڻڳڻيو
अणचालू	اڻچالو
अणचिटाई	اڻچٽائي
अणचिटो	اڻچٽو
अणचितायो	اڻچتايو
अणछुह्यल	اڻڇهيل
अणजहिड़ो	اڻجھڙو
अणजाच्यल	اڻجاچيل
अणज़ाहिर्	اڻظاھر
अणॼाण	اڻڄاڻ
अणॼाणाई	اڻڄاڻائي
अणॼाणाईअ	اڻڄاڻائيءَ
अणॼाणे	اڻڄاڻي
अणॼाते	اڻڄاتي
अणथ्यणी	اڻٿيڻي
अणथ्यणो	اڻٿيڻو
अणपड़्हियल्	اڻپڙھيل
अणपड़्ह्यल	اڻپڙهيل
अणपरिण्यल	اڻپرڻيل
अणपुख़्तो	اڻپختو
अणपूराई	اڻپورائي
अणपूरो	اڻپورو
अणपूरो	اَڻَپوُرو
अणबणति	اڻبڻت
अणॿुधल	اڻٻڌل
अणभर्यल	اڻڀريل
अणमयो	اڻميو
अणमेल	اڻميل
अणमेल्	اڻميل
अणरिथ्यो	اڻرٿيو
अणलखा	اَڻَلَکا
अणलखो	اڻلکو
अणलभ	اڻلڀ
अणलांघो	اڻلانگھو
अणवणंदड़	اڻوڻندڙ
अणवस्यल	اڻوسيل
अणवहिंवारी	اڻوهنواري
अणवाकुफ़	اڻواقف
अणसिख्यल	اڻسکيل
अणसींगार्यल	اڻسينگاريل
अणसींगार्यलु	اڻسينگاريل
अणसुस	اڻسس
अणसोघो	اڻسوگھو
अणहिरियलु	اڻهريل
अणहूंद	اڻهوند
अणाठ	اڻاٺ
अणाठि	اڻاٺ
अणाठि	اڻاٿي
अणाठ्	اڻاٿ
अणासो	اڻاسو
अणिबणत्	اڻبڻت
अण्घड़ियो	اڻگھڙيو
अण्टर	اڻٽر
अण्पूरो	اڻپورو
अण्बणति	اڻبڻت
अण्बणत्	اڻبڻت
अण्ॿुधो	اڻٻڌو
अण्वणंदड़ु	اڻوڙندڙ
अता	عطا
अती	اتي
अती	اَتي
अत्याचार	اتياچار
अत्याचारी	اتياچاري
अत्याचारु	اتياچار
अत्याचार्	اتياچار
अत्याचार्	اَتِياچار
अत्यादार्	عَطِيادار
अथक	اٿڪ
अथाणो	اٿاڻو
अथाह	اٿاھ
अथाह	اٿاه
अदद	ادد
अदद	عدد
अददु	عدد
अदब	آدَب
अदब	ادب
अदब	اَدَب
अदब	عدب
अदबी	ادبي
अदबु	ادب
अदब्	ادب
अदा	ادا
अदाइगी	ادائگي
अदाई	ادائي
अदाकार	اداڪار
अदालत	ادالت
अदालती	عدالتي
अदालत्	عدالت
अदी	ادي
अदीब्	اديب
अदो	اَدو
अद्भुत	ادڀوت
अद्रक	ادرڪ
अद्रिशिटिता	ادرشٽتا
अद्रिश्ट	ادرشٽ
अद्वितिअ	ادوتيءَ
अध	اڌ
अधरंग	اڌرنگ
अधर्मी	اڌرمي
अधिकार	اڌڪار
अधीन	اڌين
अधीर्	اڌير
अधींता	اڌينتا
अधु	اڌ
अधूरो	اڌورو
अधूरो	اَڌوُرو
अधो	اڌو
अध्यातमक्ता	اڌياتمڪتا
अध्यातम्वादी	اڌياتموادي
अध्यात्म्वादु	اڌياتمواد
अनन्द्	آنند
अनर्थ	انرٿ
अनर्थ्	انرٿ
अनाज	اناج
अनाड़ी	اناڙي
अनाथ	اناٿ
अनाथ्	اناٿ
अनादी	انادي
अनानास	اناناس
अनार	انار
अनाव~ई	بناوتي
अनिश्चित	انشچت
अनिश्चित्	انشچت
अनु	ان
अनुपात	انپات
अनुभव	انڀو
अनुभवी	انڀو
अनुभवी	انڀوي
अनुभौ	انڀءُ
अनुमान	انمان
अनुवादक	انوادڪ
अनुवादु	انواد
अनूमान	انومان
अनूमानिक्	انومانڪ
अनूमानी	انوماني
अनूमानु	انومان
अनूमान्	انومان
अनूसार्	انوسار
अनेक	انيڪ
अनेक्	انيڪ
अनेक्ता	انيڪتا
अनोखो	انوکو
अनोखो	اَنوکو
अनंत	اننت
अनंत	اَننت
अनंत्	اننت
अनंद	آنند
अन्जामु	انجام
अन्ढारो	انڌارو
अन्दर	اندر
अन्याई	انيائي
अन्याउ	انياءُ
अपसोणी	اپسوڻي
अपहरणु	اپهرڻ
अपह्रण	اپھرڻ
अपार	اپار
अपार्दर्शक	اپاردرشڪ
अपाहिज्	اپاھج
अपंग	اپنگ
अप्छरा	اپڇرا
अप्मान	اپمان
अप्मानु	اپمان
अप्मान्	اپمان
अप्रकत्	اپرڪٽ
अप्राधी	اپراڌي
अप्राधु	اپراڌ
अप्रिय	اپريَ
अप्वाद	اپواد
अप्स्वणु	اپسوڻ
अफ़्वाह	افواه
अफ़्वाहु	افواه
अफ़्साना	افسانا
अफ़्सानो	افسانو
अफ़्सोस	افسوس
अफ़्सोसु	افسوس
अफ़्सोस्	افسوس
अबाणो	اباڻو
अबाणो	اَباڻو
अबाबील	ابابيل
अबो	ابو
अब्नासी	ابناسي
अब्रक	ابرڪ
अब्रक	ابرق
अब्रूदार्	آبروُدار
अॿोझाई	اٻوجھائي
अॿोझ्	اٻوجھ
अॿोल्	اٻول
अभाॻो	اڀاڳو
अभावु	اڀاو
अभिमानी	اڀماني
अभिमानु	اڀمان
अभेद	اڀيد
अभोॻो	اڀوڳو
अभ्मानी	اڀماني
अभ्यास	اَڀياس
अभ्यास	اَڀِياس
अभ्यास	اڀياس
अभ्यासी	اڀياسي
अभ्यास्	اڀياس
अमड़	امڙ
अमन	امن
अमर	امر
अमर्ता	امرتا
अमल	امل
अमल	عمل
अमल	عَمَلَ
अमली	عملي
अमल्दार	عملدار
अमल्दारी	عملداري
अमल्दार्	عملدار
अमानत	امانت
अमानत्	امانت
अमिट्	امٽ
अमीन	امين
अमीन	اَميِن
अमीन्	امين
अमीर	امير
अमीरी	اميري
अमीर्	امير
अमीं	امين
अमुल्ह	امله
अमुल्हु	امله
अमुल्ह्	امله
अमेरीका	اَميريڪا
अमोलक	امولڪ
अम्कान	اَمڪان
अम्ब्रत	امبرت
अम्ली	عملي
अयामी	ايامي
अयाम्कारी	ايامڪاري
अयोग्य	ايوگيَ
अयोग्यता	ايوگيتا
अरहो	ارھو
अरीज़ी	عَريضي
अर्कु	عرق
अर्ज़ी	عرضي
अर्ज़ी	عَرضيِ
अर्ज़ु	ارض
अर्ज़ु	عرض
अर्ज़्दार	عرضدار
अर्ज़्दार्	عرضدار
अर्थ्शास्त्र	ارٿشاستر
अर्थ्शास्त्री	ارٿشاستري
अर्धांग	ارڌانگ
अर्पणु	ارپڻ
अर्पियल्	ارپيل
अर्बा	عربا
अर्मान	ارمان
अर्श	عرش
अर्श्	عَرش
अर्सो	عرصو
अलई	ڪلعي
अलॻ	الڳ
अलॻ	اَلَڳ
अलॻता	الڳتا
अलाजे	الاجي
अलामत	علامت
अलील	اليل
अल्ॻाउ	الڳاءُ
अल्ॻाव	الڳاو
अल्ॻाव्	الڳاو
अल्बत	البت
अल्मारी	الماري
अल्विदा	الوداع
अल्हदो	الحدو
अवगुणु	اوگڻ
अवतार	اوتار
अवतार्	اوتار
अवर्चाई	اورچائي
अवर्जा	اورجا
अवल	اول
अवलो	اولو
अवल्	اول
अवल्यत	اوليت
अवस	اوس
अवस	اوَس
अवस्था	اوسٿا
अवाइली	اوائلي
अवाज़	آواز
अविनाशी	اوناشي
अविनाश्ता	اوناشتا
अविर्च	اوِرچ
अविवेकी	اوويڪي
अविवेकी	اوِويڪي
अविवेक्	اوويڪ
अविश्वास	اوشواس
अविश्वासी	اوشواسي
अविश्वासु	اوشواس
अवीचारी	اويچاري
अवेल	اويل
अव्चेतन	اوچيتن
अव्तार	اوتار
अव्यवस्त्हा	اويوسٿا
अव्यवस्था	اويوسٿا
