अकड़	اڪڙ
अकथ	اڪٿ
अकर्मक	اڪرمڪ
अकर्मी	اڪرمي
अकाल	اڪال
अकिड़यल	اڪڙيل
अकीचार	اڪيڇار
अकीचार	اڪيچار
अकीदे	عقيدي
अकीदो	عقيدو
अकुल	عقل
अकुलु	عقل
अकुल्मंदु	عقلمند
अकेलाई	اڪيلائي
अकेले	اڪيلي
अकेलो	اڪيلو
अकेलो	ڇڏي
अकेल्आई	اڪيلائي
अक्क्रमणु	آڪرمڻ
अक्लीअ	عقليء
अक्लु	عقل
अक्शय	اڪشي
अक्स	عڪس
अक्सर	اڪثر
अक्सीर	اڪسير
अक्सु	عڪس
अख	اک
अखर	اکڙ
अखर	اکر
अखरु	اکر
अखि	اک
अखियुन	اکين
अखियूं	اکيون
अखुट	اکٽ
अखंड	اکنڊ
अखंडता	اکنڊتا
अख़्तियारी	اختياري
अख़्त्यारी	اختياري
अख़्बार	اخبار
अख्युन	اکين
अख्यूं	اکيون
अगम	اگم
अगर	اگر
अगर्च	اگرچ
अग्यान	اگيان
अग्यानी	اگياني
अॻकथी	اڳڪٿي
अॻते	اڳتي
अॻभरो	اڳڀرو
अॻयाड़ी	اڳياڙي
अॻयां	اڳيان
अॻयों	آڳيون
अॻयों	اڳيون
अॻराई	اڳرائي
अॻराई	چڙھائي
अॻरो	اڳرو
अॻवानी	اڳواني
अॻिएं	اڳئين
अॻिड़ी	اڳڙي
अॻिते	اڳتي
अॻिभरो	اڳڀرو
अॻियान	اڳيان
अॻिरो	اڳرو
अॻीं	اڳين
अॻु	اڳ
अॻुवान	اڳوان
अॻुवानी	اڳواني
अॻूणा	اڳوڻا
अॻूणाई	اڳوڻائي
अॻूणो	اڳوڻو
अॻे	اڳي
अघ	اگھ
अघु	اگھ
अघो	اگھو
अघोत्री	اگھوتري
अघोरी	اگھوري
अङणु	اڱڻ
अचण	اچڻ
अचणु	آچڻ
अचणु	اچڻ
अचर	اچر
अचल	اچل
अची	اچي
अचूक	اچوڪ
अचेताई	اچيتائي
अचंभो	اچنڀو
अच्रज	اچرج
अच्रजु	اچرج
अछाणि	اڇاڻ
अछुतो	اڇتو
अछूत	اڇوت
अछूतो	اچوتو
अछूतो	اڇوتو
अछो	اڇو
अजब	اجب
अजब	عجب
अजबु	اجب
अजबु	عجب
अजय	اجي
अजसूसी	جاسوسي
अजाइब	اجائب
अजाई	اجائي
अजायो	اجايو
अज़ीज़	عزيز
अजीत	اجيت
अजीब	اجيب
अजीब	عجيب
अजीबु	اجيب
अजीरण	اجيرڻ
अजूबो	اجوبو
अजोॻ	اجوڳ
अजोॻो	اجوڳو
अज़्ख़ुद	ازخود
अज़्ख़ूद	ازخود
अज्गर	اجگر
अॼु	اڄ
अॼु	اڃا
अॼुकल्ह	اڄڪله
अझलु	اجھل
अझो	آجھو
अझो	اجھو
अञा	اڃان
अञाटाईं	اڃاتائين
अञां	اڃا
अटक	اٽڪ
अटल	اٽل
अटलु	اٽل
अटिकल	اٽڪل
अटिकाइणु	اٽڪائڻ
अटुट	اٽٽ
अटूट	اٽوٽ
अटो	اٽو
अट्कणु	اٽڪڻ
अट्कल	اٽڪل
अट्कलबाज़ी	اٽڪلبازي
अट्कली	اٽڪلي
अट्कल्बाज़ी	اٽڪلبازي
अट्काइणु	اٽڪائڻ
अट्काउ	اٽڪاء
अट्पट्यो	اٽپٽيو
अठ	اٺ
अठोरी	اٺوري
अड़चन	اڙچن
अडम्बर	آڊمبر
अड़ाइणु	اڙائڻ
अड़े	اڙي
अॾणु	اڏڻ
अॾावत	اڏاوت
अॾींदड़	اڏيندڙ
अॾो	اڏو
अढ	اڍ
अढंगाई	اڍنگائي
अढंगो	اڍنگو
अढ्हंगो	اڍنگو
अण	اڻ
अणकप्यल	اڻڪپيل
अणखुल्यल	اڻکليل
अणगुस	اڻگھس
अणॻणित	اڻڳڻت
अणॻाणू	اڻڳاڻو
अणघड़यल	اڻگھڙيل
अणङण्यो	اڻڳڻيو
अणचालू	اڻچالو
अणचिटाई	اڻچٽائي
अणचिटो	اڻچٽو
अणचितायो	اڻچتايو
अणछुह्यल	اڻڇهيل
अणजहिड़ो	اڻجھڙو
अणजाच्यल	اڻجاچيل
अणज़ाहिर	اڻظاھر
अणॼाण	اڻڄاڻ
अणॼाणाई	اڻڄاڻائي
अणॼाणाईअ	اڻڄاڻائيء
अणॼाणे	اڻڄاڻي
अणॼाते	اڻڄاتي
अणथ्यणी	اڻٿيڻي
अणथ्यणो	اڻٿيڻو
अणपड़हियल	اڻپڙھيل
अणपड़ह्यल	اڻپڙهيل
अणपरिण्यल	اڻپرڻيل
अणपुख़्तो	اڻپختو
अणपूराई	اڻپورائي
अणपूरो	اڻپورو
अणबणति	اڻبڻت
अणॿुधल	اڻٻڌل
अणभर्यल	اڻڀريل
अणमयो	اڻميو
अणमेल	اڻميل
अणरिथ्यो	اڻرٿيو
अणलखा	اڻلکا
अणलखो	اڻلکو
अणलभ	اڻلڀ
अणलांघो	اڻلانگھو
अणवणंदड़	اڻوڻندڙ
अणवस्यल	اڻوسيل
अणवहिंवारी	اڻوهنواري
अणवाकुफ़	اڻواقف
अणसिख्यल	اڻسکيل
अणसींगार्यल	اڻسينگاريل
अणसींगार्यलु	اڻسينگاريل
अणसुस	اڻسس
अणसोघो	اڻسوگھو
अणहिरियलु	اڻهريل
अणहूंद	اڻهوند
अणाठ	اڻاٺ
अणाठि	اڻاٺ
अणाठि	اڻاٿي
अणासो	اڻاسو
अणिबणत	اڻبڻت
अण्घड़ियो	اڻگھڙيو
अण्टर	اڻٽر
अण्पूरो	اڻپورو
अण्बणत	اڻبڻت
अण्बणति	اڻبڻت
अण्ॿुधो	اڻٻڌو
अण्वणंदड़ु	اڻوڙندڙ
अता	عطا
अती	اتي
अत्याचार	اتياچار
अत्याचारी	اتياچاري
अत्याचारु	اتياچار
अत्यादार	عطيادار
अथक	اٿڪ
अथाणो	اٿاڻو
अथाह	اٿاھ
अथाह	اٿاه
अदद	ادد
अदद	عدد
अददु	عدد
अदब	آدب
अदब	ادب
अदब	عدب
अदबी	ادبي
अदबु	ادب
अदा	ادا
अदाइगी	ادائگي
अदाई	ادائي
अदाकार	اداڪار
अदालत	ادالت
अदालत	عدالت
अदालती	عدالتي
अदी	ادي
अदीब	اديب
अदो	ادو
अद्भुत	ادڀوت
अद्रक	ادرڪ
अद्रिशिटिता	ادرشٽتا
अद्रिश्ट	ادرشٽ
अद्वितिअ	ادوتيء
अध	اڌ
अधरंग	اڌرنگ
अधर्मी	اڌرمي
अधिकार	اڌڪار
अधीन	اڌين
अधीर	اڌير
अधींता	اڌينتا
अधु	اڌ
अधूरो	اڌورو
अधो	اڌو
अध्यातमक्ता	اڌياتمڪتا
अध्यातम्वादी	اڌياتموادي
अध्यात्म्वादु	اڌياتمواد
अनन्द	آنند
अनर्थ	انرٿ
अनाज	اناج
अनाड़ी	اناڙي
अनाथ	اناٿ
अनादी	انادي
अनानास	اناناس
अनार	انار
अनाव~ई	بناوتي
अनिश्चित	انشچت
अनु	ان
अनुपात	انپات
अनुभव	انڀو
अनुभवी	انڀو
अनुभवी	انڀوي
अनुभौ	انڀء
अनुमान	انمان
अनुवादक	انوادڪ
अनुवादु	انواد
अनूमान	انومان
अनूमानिक	انومانڪ
अनूमानी	انوماني
अनूमानु	انومان
अनूसार	انوسار
अनेक	انيڪ
अनेक्ता	انيڪتا
अनोखो	انوکو
अनंत	اننت
अनंद	آنند
अन्जामु	انجام
अन्ढारो	انڌارو
अन्दर	اندر
अन्याई	انيائي
अन्याउ	انياء
अपसोणी	اپسوڻي
अपहरणु	اپهرڻ
अपह्रण	اپھرڻ
अपार	اپار
अपार्दर्शक	اپاردرشڪ
अपाहिज	اپاھج
अपंग	اپنگ
अप्छरा	اپڇرا
अप्मान	اپمان
अप्मानु	اپمان
अप्रकत	اپرڪٽ
अप्राधी	اپراڌي
अप्राधु	اپراڌ
अप्रिय	اپري
अप्वाद	اپواد
अप्स्वणु	اپسوڻ
अफ़्वाह	افواه
अफ़्वाहु	افواه
अफ़्साना	افسانا
अफ़्सानो	افسانو
अफ़्सोस	افسوس
अफ़्सोसु	افسوس
अबाणो	اباڻو
अबाबील	ابابيل
अबो	ابو
अब्नासी	ابناسي
अब्रक	ابرڪ
अब्रक	ابرق
अब्रूदार	آبرودار
अॿोझ	اٻوجھ
अॿोझाई	اٻوجھائي
अॿोल	اٻول
अभाॻो	اڀاڳو
अभावु	اڀاو
अभिमानी	اڀماني
अभिमानु	اڀمان
अभेद	اڀيد
अभोॻो	اڀوڳو
अभ्मानी	اڀماني
अभ्यास	اڀياس
अभ्यासी	اڀياسي
अमड़	امڙ
अमन	امن
अमर	امر
अमर्ता	امرتا
अमल	امل
अमल	عمل
अमली	عملي
अमल्दार	عملدار
अमल्दारी	عملداري
अमानत	امانت
अमिट	امٽ
अमीन	امين
अमीर	امير
अमीरी	اميري
अमीं	امين
अमुल्ह	امله
अमुल्हु	امله
अमेरीका	اميريڪا
अमोलक	امولڪ
अम्कान	امڪان
अम्ब्रत	امبرت
अम्ली	عملي
अयामी	ايامي
अयाम्कारी	ايامڪاري
अयोग्य	ايوگي
अयोग्यता	ايوگيتا
अरहो	ارھو
अरीज़ी	عريضي
अर्कु	عرق
अर्ज़ी	عرضي
अर्ज़ु	ارض
अर्ज़ु	عرض
अर्ज़्दार	عرضدار
अर्थ्शास्त्र	ارٿشاستر
अर्थ्शास्त्री	ارٿشاستري
अर्धांग	ارڌانگ
अर्पणु	ارپڻ
अर्पियल	ارپيل
अर्बा	عربا
अर्मान	ارمان
अर्श	عرش
अर्सो	عرصو
अलई	ڪلعي
अलॻ	الڳ
अलॻता	الڳتا
अलाजे	الاجي
अलामत	علامت
अलील	اليل
अल्ॻाउ	الڳاء
अल्ॻाव	الڳاو
अल्बत	البت
अल्मारी	الماري
अल्विदा	الوداع
अल्हदो	الحدو
अवगुणु	اوگڻ
अवतार	اوتار
अवर्चाई	اورچائي
अवर्जा	اورجا
अवल	اول
अवलो	اولو
अवल्यत	اوليت
अवस	اوس
अवस्था	اوسٿا
अवाइली	اوائلي
अवाज़	آواز
अविनाशी	اوناشي
अविनाश्ता	اوناشتا
अविर्च	اورچ
अविवेक	اوويڪ
अविवेकी	اوويڪي
अविश्वास	اوشواس
अविश्वासी	اوشواسي
अविश्वासु	اوشواس
अवीचारी	اويچاري
अवेल	اويل
अव्चेतन	اوچيتن
अव्तार	اوتار
अव्यवस्त्हा	اويوسٿا
अव्यवस्था	اويوسٿا
अव्हां	اوهان
अव्हीं	اوهين
अशक्त	اشڪت
अशांत	اشانت
अशांती	اشانتي
अशुध	اشڌ
अशुधता	اشڌتا
अशुभ	اشڀ
अश्रत	عشرت
असन्गती	اسنگتي
असफल	اسڦل
असफल्ता	اسڦلتا
असभ्य	اسڀي
असभ्यता	اسڀيتا
असमर्थ	اسمرٿ
असमर्थी	اسمرٿي
असमाजिक	اسماجڪ
असमांता	اسمانتا
असर	اثر
असरु	اثر
असर्दार	اثردار
असहु	اسه
असहू	اسهو
असह्कार	اسهڪار
असह्योग	اسهيوگ
असां	اسان
असी	اسي
असीम	اسيم
असीं	اسين
असुभावीक	اسڀاويڪ
असुर	عصر
असुल	اصل
असुल	دراصل
असुलियत	اصليت
असुली	اصلي
असुलु	اصل
असुल्यत	اصليت
असूली	اصولي
असोच	اسوچ
असंतुलन	اسنتلن
असंतोश	اسنتوش
अस्तर	استر
अस्मत	عصمت
अस्राइतो	اثرائتو
अस्ली	اصلي
अस्लीपिणो	اصليپڻو
अहम	اھم
अहम	اهم
अहम्यत	اهميت
अहिड़ी	اهڙي
अहिड़े	اهڙي
अहिड़ो	اهڙو
अहिम	اھم
अहिम्यत	اھميت
अहिल	اهل
अहिसान	احسان
अहिसान	اهسان
अहिसान्मंद	اهسانمند
अहिसास	حساب
अहिंज	اھنج
अहिंजो	اھنجو
अहुदो	عهدو
अहुर	اهر
अहंकार	اھنڪار
अहंकारी	اھنڪاري
अहंजु	اهنج
अहंजो	اهنجو
अह्म्यत	اھميت
अह्वाल	احوال
अह्सान	احسان
अह्सान्मंद	احسانمند
अह्सान्मंदी	احسانمندي
अह्सास	احساس
अह्सासु	احساس
अंग	انگ
अंगल	انگل
अंगी	انگي
अंगु	انگ
अंगूर	انگور
अंगूर	ولي
अंगूरी	انگوري
अंगेज़	انگيز
